fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-07-06;0;2;;0;0;0;0
FR;2020-07-07;0;0;0.104298599739149;0.673470958315649;0.105788579735423;7.79855530049581;0.572152318569047
FR;2020-07-07;0;1;;0;0;0;0
FR;2020-07-07;0;2;;0;0;0;0
FR;2020-07-08;0;0;0.104298599739149;0.642181378393904;0.105788579735423;7.63167754091317;0.54831263862867
FR;2020-07-08;0;1;;0;0;0;0
FR;2020-07-08;0;2;;0;0;0;0
FR;2020-07-09;0;0;0.104298599739149;0.671980978319376;0.105788579735423;7.52737894117402;0.539372758651029
FR;2020-07-09;0;1;;0;0;0;0
FR;2020-07-09;0;2;;0;0;0;0
FR;2020-07-10;0;0;0.113238479716791;0.706250518233667;0.111748499720517;7.39179076151313;0.530432878673387
FR;2020-07-10;0;1;;0;0;0;0
FR;2020-07-10;0;2;;0;0;0;0
FR;2020-07-11;0;0;0.105788579735423;0.700290598248573;0.10876853972797;7.21448314195658;0.512553118718105
FR;2020-07-11;0;1;;0;0;0;0
FR;2020-07-11;0;2;;0;0;0;0
FR;2020-07-12;0;0;0.102808619742876;0.707740498229941;0.107278559731696;7.21448314195658;0.505103218736737
FR;2020-07-12;0;1;;0;0;0;0
FR;2020-07-12;0;2;;0;0;0;0
FR;2020-07-13;0;0;0.111748499720517;0.747969958129327;0.114728459713064;7.30537192172926;0.515533078710652
FR;2020-07-13;0;1;;0;0;0;0
FR;2020-07-13;0;2;;0;0;0;0
FR;2020-07-14;0;0;0.105788579735423;0.736050118159139;0.110258519724243;7.17872362204601;0.503613238740463
FR;2020-07-14;0;1;;0;0;0;0
FR;2020-07-14;0;2;;0;0;0;0
FR;2020-07-15;0;0;0.104298599739149;0.785219458036166;0.117708419705611;7.26216250183733;0.520003018699472
FR;2020-07-15;0;1;;0;0;0;0
FR;2020-07-15;0;2;;0;0;0;0
FR;2020-07-16;0;0;0.098338679754055;0.795649318010081;0.128138279679526;7.13849416214663;0.509573158725558
FR;2020-07-16;0;1;;0;0;0;0
FR;2020-07-16;0;2;;0;0;0;0
FR;2020-07-17;0;0;0.0953587197615078;0.803099217991449;0.128138279679526;7.02674566242611;0.485733478785181
